,propertName,links,rating,society,price,area,areaWithType,bedRooms,bathRooms,additionalRooms,address,floorNum,facing,agePossesion,nearbyLocation,description,furnishDetails,features,propertyId
,"4 BHK Flatin Sector 106, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-godrej-meridien-sector-106-gurgaon-2720-sq-ft-spid-W80275431,3.4,  Godrej Meridien,4.1 Crore,,2720,4 Bedrooms,4 Bathrooms,"Pooja Room,Study Room,Servant Room,Store Room","Godrej Meridien Sector 106, Gurgaon",10th   of 34 Floors,North,0 to 1 Year Old,"['Huda metro station', 'Gurgaon Dreamz Mall', 'Dwarka Expressway', 'Delhi Ajmer Expressway', 'Euro International School, Sector- 109', 'The NorthCap University', 'Dev Hospital', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Infinity Business Park', 'Hamoni Golf Camp', 'Tau DeviLal Sports Complex']","This 4 bhk apartment is available for sale in godrej meridien, one of the most prominent projects for flats in sector 106 gurgaon. This property faces the north direction. Constructed on a carpet area of 2720 sq.M., the flat comprises 4 bedroom(s), 4 bathrooms and more than 3 balconies. The resident...","['1 Microwave', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",W80275431
,"3 BHK Flatin Sector 37D, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ramprastha-the-edge-towers-sector-37d-gurgaon-1604-sq-ft-spid-S80095831,3.5,  Ramprastha The Edge Towers,1.35 Crore,1604,1100,3 Bedrooms,3 Bathrooms,,"Ramprastha The Edge Towers Sector 37D, Gurgaon",10th   of 19 Floors,North-East,0 to 1 Year Old,"['The Esplanade Mall', 'Dwarka Express', 'Euro International School', 'Narayana Junior College', 'Yashroop Hospital', 'Indira Gandhi International Airport', 'Gurugram Railway Station', 'Aboard Offices Complex', 'Holiday Inn Hotel']",Ready to move in 3 bhk spacious flat for sale. Serious buyer can contact. We have many options 2/3/4 bhk.,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",,S80095831
,"4 BHK Flatin Sector 85, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-godrej-air-sector-85-gurgaon-2599-sq-ft-spid-G80195913,,  Godrej Air,3.5 Crore,,2599,4 Bedrooms,4 Bathrooms,Servant Room,"Godrej Air Sector 85, Gurgaon",12nd   of 25 Floors,North,0 to 1 Year Old,"['Millennium City Centre Gurugram', 'Iris Broadway', 'Rewari-Delhi Road', 'Euro International School, Sector 84', 'Gurugram University', 'Arc Multi Speciality hospital', 'Indira Gandhi International Airport', 'Garhi Harsaru Junction', 'AS Business Park', 'Hyatt Regency Gurugram', 'AapnoGhar', 'Golden Greens Golf & Resorts Ltd', 'Nakhrola Stadium']","Check out this 4 bhk apartment for sale in godrej air, a popular residential project that houses in-Demand flats in sector 85 gurgaon. The flat is facing the north direction. The flat is over 2599 sq.Ft. Carpet area and comes with 4 bedroom(s), 4 bathrooms and more than 3 balconies. The property is ...","['1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",G80195913
,"3 BHK Flatin Sector 85, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-air-sector-85-gurgaon-2129-sq-ft-spid-O79770661,,  Godrej Air,2.9 Crore,,2129,3 Bedrooms,4 Bathrooms,Study Room,"Godrej Air Sector 85, Gurgaon",10th   of 32 Floors,North-East,0 to 1 Year Old,"['Millennium City Centre Gurugram', 'Iris Broadway', 'Rewari-Delhi Road', 'Euro International School, Sector 84', 'Gurugram University', 'Arc Multi Speciality hospital', 'Indira Gandhi International Airport', 'Garhi Harsaru Junction', 'AS Business Park', 'Hyatt Regency Gurugram', 'AapnoGhar', 'Golden Greens Golf & Resorts Ltd', 'Nakhrola Stadium']","Looking for a 3 bhk property for sale in gurgaon? Buy this 3 bhk flat in godrej air that is situated in sector 85 gurgaon. The flat is north-East-Facing. Constructed on a carpet area of 2129 sq.Ft., the flat comprises 3 bedroom(s), 4 bathrooms and more than 3 balconies. This flat lies on the 10th le...","['1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",O79770661
,"3 BHK Flatin Sector 85, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-air-sector-85-gurgaon-1855-sq-ft-spid-Z79770289,,  Godrej Air,2.6 Crore,,1855,3 Bedrooms,3 Bathrooms,,"Godrej Air Sector 85, Gurgaon",12nd   of 32 Floors,North,0 to 1 Year Old,"['Millennium City Centre Gurugram', 'Iris Broadway', 'Rewari-Delhi Road', 'Euro International School, Sector 84', 'Gurugram University', 'Arc Multi Speciality hospital', 'Indira Gandhi International Airport', 'Garhi Harsaru Junction', 'AS Business Park', 'Hyatt Regency Gurugram', 'AapnoGhar', 'Golden Greens Golf & Resorts Ltd', 'Nakhrola Stadium']","Godrej air is one of gurgaon's most sought after destination for apartments and this 3 bhk flat in sector 85 gurgaon is your opportunity to be a part of this community. The flat is facing the north direction. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and more than 3 balconies. A...","['1 Modular Kitchen', '4 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",Z79770289
,"4 BHK Flatin Sector 85, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-godrej-air-sector-85-gurgaon-2599-sq-ft-spid-P79771673,,  Godrej Air,3.6 Crore,,2599,4 Bedrooms,4 Bathrooms,Servant Room,"Godrej Air Sector 85, Gurgaon",15th   of 32 Floors,North,0 to 1 Year Old,"['Millennium City Centre Gurugram', 'Iris Broadway', 'Rewari-Delhi Road', 'Euro International School, Sector 84', 'Gurugram University', 'Arc Multi Speciality hospital', 'Indira Gandhi International Airport', 'Garhi Harsaru Junction', 'AS Business Park', 'Hyatt Regency Gurugram', 'AapnoGhar', 'Golden Greens Golf & Resorts Ltd', 'Nakhrola Stadium']","This beautiful 4 bhk flat in sector 85 gurgaon is situated in godrej air, one of the popular residential society in gurgaon. This property faces the north direction. The floor plan additionally contains 4 bedroom(s), 4 bathrooms and more than 3 balconies. All in all, the flat is spread over a carpet...","['1 Microwave', '1 Modular Kitchen', '5 AC', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",P79771673
,"3 BHK Flatin Sector 99, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-pareena-express-heights-sector-99-gurgaon-1890-sq-ft-spid-F80012301,4.1,  Pareena Express Heights,1.8 Crore,1890,1865,3 Bedrooms,4 Bathrooms,"Pooja Room,Study Room,Servant Room,Store Room","Pareena Express Heights Sector 99, Gurgaon",10th   of 14 Floors,North,0 to 1 Year Old,"['Ocus Medley', 'Dwarka Expy, Sector 88', 'Euro Intl School, Sector 37D, Gurugram', 'Basant Valley School', 'SGT University', 'Vibrant Hospital', 'Indira Gandhi Intl Airport', 'Haier appliances India Pvt LTD']","Located in the popular residential address of sector 99 gurgaon, pareena express heights is one of the most preferred destination for apartments in gurgaon. This 3 bhk flat is your ticket to be a part of this community. The flat is over 1865 sq.Ft. Super built up area and comes with 3 bedroom(s), 4 ...","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",,F80012301
,"3 BHK Flatin Sector 60, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ireo-skyon-sector-60-gurgaon-2100-sq-ft-spid-B79567973,4,  Ireo Skyon,4.1 Crore,2100,1900,3 Bedrooms,3 Bathrooms,Servant Room,"Ireo Skyon Sector 60, Gurgaon",7th   of 10 Floors,South,5 to 10 Year Old,"['Sector 55-56 Metro', 'Golf Course Extension', 'Adarsh Senior Secondary School', 'Swastik Hospital Sec 66', 'IGI Airport', 'Surajgarh Gurgaon, Golf Course Ext Rd', 'International Tech Park Gurgaon,']","Located in the popular residential address of sector 60 gurgaon, ireo skyon is one of the most preferred destination for apartments in gurgaon. This 3 bhk flat is your ticket to be a part of this community. This is a west-Facing property. The flat is over 2100 sq.Ft. Super built up area and comes wi...","['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '4 Geyser', '10 Light', '1 Modular Kitchen', '1 Chimney', '5 AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Fitness Centre / GYM', 'Club house / Community Center']",B79567973
,"3 BHK Flatin Sector 88A, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-icon-sector-88a-gurgaon-1825-sq-ft-spid-H79538645,,  Godrej Icon,2.1 Crore,1825,1700,3 Bedrooms,3 Bathrooms,Store Room,"Godrej Icon Sector 88A, Gurgaon",8th   of 14 Floors,East,1 to 5 Year Old,"['Park Street Mall', 'Pataudi Road', 'RPS International School', 'SGT University', 'Sukhda Hospital', 'Indira Gandhi International Airport', 'Gurugram Railway Station', 'Oahfeo Workspace', 'Holiday Inn Hotel', 'Nehru Stadium']","Skywalk with helipad
 17000 sqft club aqua
 Car charging facility
 One of the vicinitys tallest towers
 Sky terrace and garden for residents
 Landscaped and organic gardens within the vicinity
 Excellent connectivity
 Godrej icon, sector-88a, gurgaon, haryana","['Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",,H79538645
,"3 BHK Flatin Sector 81, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-ultima-sector-81-gurgaon-2100-sq-ft-spid-M80405709,4.2,  DLF The Ultima,3.95 Crore,,2100,3 Bedrooms,3 Bathrooms,,"DLF The Ultima Sector 81, Gurgaon",1st   of 34 Floors,East,5 to 10 Year Old,"['Huda Metro Station (Gurugram)', 'Vatika Town Square-INXT', 'Manesar Road', 'NH 48', 'Euro International School, Sec 84', 'SGT University', 'Miracles Apollo Cradle Hospital', 'Indira Gandhi Intl Airport', 'Garhi Harsaru Junction']","Stunning 3-Bedroom apartment with servant quarter in prime luxury development by dlfStep into the epitome of modern living with this exquisite 3-Bedroom apartment, complete with a servant quarter (Sq), in one of new gurgaons most prestigious addresses  ultima, developed by indias largest and most ...","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Visitor Parking', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",,M80405709
,"2 BHK Flatin Sector 95A, Gurgaon",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-the-roselia-sector-95a-gurgaon-569-sq-ft-spid-N80605361,3.8,  Signature The Roselia,67 Lac,,569.24,2 Bedrooms,2 Bathrooms,Pooja Room,"Signature The Roselia Sector 95A, Gurgaon",8th   of 19 Floors,East,1 to 5 Year Old,"['Sector 37 Metro Station', 'Newtown Square Mall', 'Pataudi Road', 'Yaduvanshi Shiksha Niketan', 'Gurugram University Sector 87', 'Arc Multi Speciality hospital', 'Indira Gandhi International Airport', 'Basai Dhankot Railway Station', 'IMT Manesar', 'Holiday Inn Sector 90', 'Manesar Golf Course', 'Nakhrola Stadium']","This lovely 2 bhk apartment/flat in sector 95a gurgaon is available for sale in one of gurgaon's most popular projects, signature the roselia. This property faces the east direction. The flat is over 569 sq.Ft. Carpet area and comes with 2 bedroom(s), 2 bathrooms and 2 balconies. This flat lies on t...","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",,N80605361
,"2 BHK Flatin Sector 71, Gurgaon",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-andour-heights-sector-71-gurgaon-600-sq-ft-spid-T80270549,3.8,  Signature Andour Heights,84 Lac,600,514,2 Bedrooms,2 Bathrooms,,"Signature Andour Heights Sector 71, Gurgaon",7th   of 13 Floors,North-East,1 to 5 Year Old,"['Millennium City Centre', 'Omaxe City Centre', 'Gurgaon - Delhi Expy', 'CD International School', 'Gurugram University', 'Park Hospital', 'Indira Gandhi Intl Airport', 'Basai Dhankot Station', 'Vatika Business Centre', 'The Bristol Hotel', 'SkyJumper Trampoline Park', 'DLF Golf and Country Club', 'Tau DeviLal Sports Complex']","Looking for a 2 bhk property for sale in gurgaon? Buy this 2 bhk flat in signature andour heights that is situated in sector 71 gurgaon. The flat is facing the east direction. The flat is over 600 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and 1 balcony. The residential buil...","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",,T80270549
,"3 BHK Flatin Sector 89 A, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vatika-seven-elements-sector-89-a-gurgaon-1960-sq-ft-spid-C80020317,,  Vatika Seven Elements,1.86 Crore,1960,,3 Bedrooms,3 Bathrooms,"Pooja Room,Store Room","Vatika Seven Elements Sector 89 A, Gurgaon",11st   of 21 Floors,North,0 to 1 Year Old,"['Millennium City Centre Gurugram', 'Newtown Square Mall', 'Dwarka Expy', 'Euro International School', 'SGT University', 'Shri Balaji’s Multispeciality Hospital', 'Indira Gandhi International Airport', 'Farrukh Nagar Railway Station', 'AS Business Park', 'Holiday Inn Gurugram Sector 90', 'AapnoGhar', 'Manesar Golf Course', 'Nakhrola Stadium']","This size is 1960 sqft available for sale @1.86cr vatika seven elements with top-Notch facilities like landscaped gardens, a swimming pool, and a well-Equipped gym, vatika seven elements provides an ideal balance of comfort, style, and sustainability for its residents.","['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",,C80020317
,"3 BHK Flatin Sector 83, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-mapsko-paradise-sector-83-gurgaon-1340-sq-ft-r2-spid-E41502101,3.9,  Mapsko Paradise,1.33 Crore,1340,,3 Bedrooms,3 Bathrooms,Others,"Mapsko Paradise Sector 83, Gurgaon",9th   of 12 Floors,North,5 to 10 Year Old,"['Millennium City Centre Gurugram', 'Raheja Mall', 'NH 48', 'Vivekanand school', 'Gurugram Univ Kankrola Sec 87', 'Genesis Hospital', 'Indira Gandhi Intl Airport', 'Patli Railway Station', 'Hans Business Park', 'Hyatt Regency Gurugram', 'De Adventure Park - farms', 'Golden Greens Golf & Resorts Ltd', 'Nakhrola Stadium']","Exclusive flats available. Call 99999-82787 growth realtech. Keys in hand. For more info. Pls visit @ site address : Ab2-104, mapsko casa bellaA 3 bhk flat is available for sale in gurgaon sector-83. This west facing property. This is a ready to move property has a super built-Up area of 1340 sq.F...","['5 Fan', '1 Exhaust Fan', '2 Geyser', '10 Light', '2 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",E41502101
,"3 BHK Flatin Sector 70, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-gpl-eden-heights-sector-70-gurgaon-2150-sq-ft-spid-V80182671,4.1,  GPL Eden Heights,2.62 Crore,2150,2000,3 Bedrooms,4 Bathrooms,Servant Room,"GPL Eden Heights Sector 70, Gurgaon",6th   of 16 Floors,North,5 to 10 Year Old,"['ILD Trade Centre Mall', 'Southern Peripheral Rd', 'Gurugram University', 'Scottish High International School', 'Park Hospital', 'Indira Gandhi Intl Airport']","This 3 bhk flat is located in gpl eden heights, which houses some of the most spacious flats in sector 70 gurgaon. This property faces the north direction. Containing 3 bedroom(s), 4 bathrooms and 3 balconies, this flat is spread over a super built up area of 2150 sq.Ft. This flat is situated on the...","['3 Wardrobe', '1 Water Purifier', '5 Fan', '1 Exhaust Fan', '3 Geyser', '1 Stove', '11 Light', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine']","['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",V80182671
,"4 BHK Flatin Sector 90, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-new-town-heights-1-sector-90-gurgaon-2364-sq-ft-spid-U80601653,4,  DLF New Town Heights 1,2.49 Crore,2364,,4 Bedrooms,4 Bathrooms,"Servant Room,Pooja Room","DLF New Town Heights 1 Sector 90, Gurgaon",16th   of 19 Floors,North,1 to 5 Year Old,"['Manish Gallexie 91', 'NH-8 IMT Manesar', 'RHM Public School', 'Silver Streak Multi Speciality Hospital', 'Airport', 'Holiday Inn Gurugram']","This lovely 4 bhk apartment/flat in sector 90 gurgaon is available for sale in one of gurgaon's most popular projects, dlf new town heights 1. This residential flat is north-Facing direction. The floor plan additionally contains 4 bedroom(s), 4 bathrooms and more than 3 balconies. All in all, the fl...","['Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",,U80601653
,"4 BHK Flatin Sector 90, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-new-town-heights-1-sector-90-gurgaon-2364-sq-ft-spid-N80601749,4,  DLF New Town Heights 1,2.49 Crore,2364,,4 Bedrooms,4 Bathrooms,Servant Room,"DLF New Town Heights 1 Sector 90, Gurgaon",12nd   of 19 Floors,North,1 to 5 Year Old,"['Manish Gallexie 91', 'NH-8 IMT Manesar', 'RHM Public School', 'Silver Streak Multi Speciality Hospital', 'Airport', 'Holiday Inn Gurugram']","This beautiful 4 bhk flat in sector 90 gurgaon is situated in dlf new town heights 1, one of the popular residential society in gurgaon. The flat is facing the north direction. The floor plan additionally contains 4 bedroom(s), 4 bathrooms and more than 3 balconies. All in all, the flat is spread ov...","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",,N80601749
