society,price,sector,pricePerSqft,propertyType,area,superbuilt,carpet,builtup,bedRooms,bathRooms,address,floorNum,facing,agePossesion,balcony,pooja room,servant room,study room,others,store room,furnishType,luxuryScore
  tulip ivory,4.81,sector 70,12493.51,flat,3850.0,3850.0,2695.0,3272.5,5.0,6.0,"Tulip Ivory Sector 70, Gurgaon",12.0,east,relatively new property,,0,1,0,0,0,0,221
  sri kirti apartments,2.9,sector 55,13647.06,flat,2125.0,2125.0,1381.25,1700.0,3.0,3.0,"Sri Kirti Apartments Sector 55, Gurgaon",7.0,east,old property,,0,1,0,0,0,1,111
  vatika gurgaon 21,1.86,sector 83,10420.17,flat,1785.0,1785.0,1160.25,1428.0,3.0,3.0,"Vatika Gurgaon 21 Sector 83, Gurgaon",2.0,north,moderatly old property,,0,0,0,0,1,2,125
  sbtl caladium,4.7,sector 109,9400.0,flat,5000.0,5000.0,3500.0,4250.0,5.0,7.0,"SBTL Caladium Sector 109, Gurgaon",19.0,north-east,moderatly old property,,1,1,1,0,0,2,96
  gpl eden heights,2.62,sector 70,12186.05,flat,2150.0,2150.0,1397.5,1720.0,3.0,4.0,"GPL Eden Heights Sector 70, Gurgaon",6.0,north,moderatly old property,,0,1,0,0,0,1,221
  mahdra lumare,7.0,sector 59,,flat,,,,,3.0,3.0,"Mahindra Luminare Sector 59, Gurgaon",2.0,east,relatively new property,,0,1,0,0,0,2,87
  ats triumph,3.6,sector 104,11428.57,flat,3150.0,3150.0,2205.0,2677.5,4.0,4.0,"ATS Triumph Sector 104, Gurgaon",12.0,east,relatively new property,,1,1,1,1,0,1,117
"  sector 46, gurgaon",14.5,sector 46,32222.22,house,4500.0,5850.0,3825.0,4500.0,16.0,20.0,"  sector 46, gurgaon",4.0,north-west,relatively new property,3+,1,1,1,1,0,2,63
  ireo victory valley,4.45,sector 67,18457.07,flat,2411.0,2411.0,1567.15,1928.8000000000002,3.0,3.0,"Ireo Victory Valley Sector 67, Gurgaon",31.0,north-east,relatively new property,,1,1,0,0,0,1,221
  godrej air,2.6,sector 85,,flat,,,,,3.0,3.0,"Godrej Air Sector 85, Gurgaon",12.0,north,new property,,0,0,0,0,0,2,221
"  a block sushant lok phase 1, gurgaon",14.0,sector 43,,house,,,,,8.0,8.0,"  a block sushant lok phase 1, gurgaon",3.0,west,relatively new property,3,1,1,1,0,1,0,207
"  dlf phase 2, gurgaon",8.25,sector 25,,house,,,,,3.0,3.0,"  dlf phase 2, gurgaon",3.0,west,moderatly old property,2,0,1,0,0,0,1,55
  vatika gurgaon 21,2.17,sector 83,10954.06,flat,1981.0,1981.0,1287.65,1584.8000000000002,3.0,3.0,"Vatika Gurgaon 21 Sector 83, Gurgaon",10.0,east,moderatly old property,,0,1,0,0,0,1,134
  dlf new town heights 1,2.49,sector 90,10532.99,flat,2364.0,2364.0,1654.8,2009.3999999999999,4.0,4.0,"DLF New Town Heights 1 Sector 90, Gurgaon",16.0,north,relatively new property,,1,1,0,0,0,2,212
"  sector 51, gurgaon",10.5,sector 51,,house,,,,,12.0,15.0,"  sector 51, gurgaon",4.0,north-east,new property,3+,1,1,1,1,0,1,198
"  ss aaron ville, uppals southend, gurgaon",5.6,sector 49,16000.0,house,3500.0,4550.0,2975.0,3500.0,4.0,4.0,"  ss aaron ville, uppals southend, gurgaon",2.0,north-east,relatively new property,3,1,1,0,0,0,1,207
"  sector 46, gurgaon",5.5,sector 46,,house,,,,,6.0,6.0,"  sector 46, gurgaon",3.0,north-east,old property,3,0,0,0,0,1,2,85
"  block c palam vihar, gurgaon",1.6,sector 1,,house,,,,,1.0,1.0,"  block c palam vihar, gurgaon",1.0,south-west,relatively new property,1,0,0,0,1,0,2,63
  sbtl caladium,2.98,sector 109,9754.5,flat,3055.0,3055.0,2138.5,2596.75,4.0,4.0,"SBTL Caladium Sector 109, Gurgaon",8.0,north,relatively new property,,0,1,0,0,0,2,159
  dlf beverly park,7.5,sector 25,,flat,,,,,3.0,4.0,"DLF Beverly Park DLF Phase 2, Gurgaon",2.0,east,old property,,0,1,1,0,1,1,104
